,id_поста,text_tokens,text_length,preprocessed_comments
154,14773,,0,"[('мечта детство сбыться урок минута перемена час', 7), ('полифазный сон минута', 3), ('говорить невозможно получить автомат предмет', 5), ('почему прислать пара проспа', 4), ('предмет числануль', 2)]"
155,14761,весь мир расписание н м третий сентябрь,7,"[('', 0), ('календарь календарь календааааарить календарь', 4)]"
156,14742,баный рот выборность ч дебил ч ебануть действить натура ебануть сидеть расписание неправильный вбивать стоить грита написать студофис посмотреть твой мать делать глаз мудак баный делать ранний делать иса дегенерат ебучий иса происходить иса сосать ч действительно идиот дифичента баный ваш рот ч итог сделать создать баный твой рот хуй снова мочь записаться создать новый сайт хуй дисциплина друг порядок разложить друг смотреть баный твой рот ч политех заряжать сука баный падло блядский департамент информационный технология мудила гороховый пустой место сломать долбо баный доказать доказать мудила ебучий нахуй доказывать сука баный падла записать смотреть рот ваш ебал зззапис блядь записать нормально ч ебануть сука студофис вид расписание давать мудила мочь уник расписание порядок разложить ч бредить баный твой рот разложить ч бредить сука успокоиться посмотреть разложить получаться выбрать дегенеративный хуйло бредить ч бредить ч дурак давать попробовать ещё завтра записаться баный козёл фак ю булщит щит специально специально итмем рассказать исполнять ч дебил хотеть мудила гороховый ч твой мать университет сука который пиариться выборность дисциплина выбрать дисциплина ч дурак ёбаный твой рот ч кретин хотеть сказать хотеть дегенеративный кретин понимать говорить вообще говорить говорить прийтись ещё вставать утро полезно здоровье картинка анатолий глазов,193,"[('жиза герой нахуй ебучий', 4), ('понять мем перевод', 3), ('', 0), ('наглядно написать диплом', 3), ('гениально', 1)]"
157,14740,упасть делать больно иначе,4,"[('специально обновлять быстрый л г пойти спать', 7), ('почитать коммент телега лечь вечер', 5), ('лежать', 1)]"
158,14726,,0,"[('считать гениально хороший мем последний время', 6), ('автор секси мем огонь', 4), ('чувство вообще пересекаться сразу выбраться', 5), ('следовать отметить существенный вклад полина сергеевич художественный оформление мем', 9), ('', 0), ('нужный пояснительный бригада', 3), ('пиздец везде пересечение весь комбинация остаться предмет предмет ещ стрёмный', 10), ('ещ сайт лежать', 3), ('успеть утро выбрать молодец', 4), ('неожиданно стать женщина хах', 4), ('', 0), ('факультатив выбрать пересечься расписание', 4), ('гермиона грейнджер решить проблема', 4), ('наш время', 2)]"
159,14720,,0,"[('факультатив креатех единственный пара суббота', 5), ('дать', 1), ('ещ выбрать факультатив креатех', 4), ('смочь выбрать', 2), ('пояснить', 1)]"
160,14710,,0,"[('постить', 1), ('', 0)]"
161,14700,,0,"[('лола изя выбрать лагало', 4), ('', 0), ('записывать выборный дисциплиновый показывать красивый', 5)]"
162,14696,,0,"[('наоборот осуждать', 2), ('', 0), ('гомофобный лексика итмем', 3), ('пидорас гей', 2)]"
163,14690,фичреквест выбор предмет рандомный выбор,5,"[('регулярно заходить каждый спрашивать продажа допёс физика каждый отвечать спрашивать ответить смысл отвечать скрипт отвечать неизменный секундный фриз каждый неизменный интонация спрашивать допёс общеуниверситетский факультатив выбрать допёс продажа поток торговать физика купить сколько факультатив вообще хотеть купить пара курс история почём вообще извинить занятый английский нужный рецепт иса зараза знать идеально лицо знать спросить знать ответить ещ жест слово показать каждый знать сценарий бывать сайт лежать вход заходить подсматривать стеклянный дверь равнодушно подниматься выбрасывать выбор возвращаться прилавок хотеть нужный физика жаль общаться клиент стоя рядом терпеливо ждать закончить свободный время продажа торговать скучать прилавок сайт расхаживать поток знать далёкий пода вид равнодушно бер журнал англ найти мочь вообще продажа бывать давно торговать очень суровый настоящий мужской противостояние исход который ясный очевидный каждый сторона рассчитывать победа согласный ничья', 127)]"
164,14685,насущный,1,"[('пятимерный пространство', 2)]"
165,14682,,0,"[('июнь лето ещё ток начинаться', 5), ('очень милый мем', 3)]"
166,14677,,0,"[('мочь зинчик костюм шмель коренной жаль', 6), ('итмемолог', 1)]"
167,14670,,0,"[('сентябрь', 1), ('', 0), ('ещ барс', 2), ('сколько год распиливать новый сайт получить доля', 7)]"
168,14659,,0,"[('ооо магистр порвать', 3), ('смочь помочь собачка подобрать', 4), ('нигошиейшн топ курс', 3), ('данный мем нести юмористический посыл пытаться оскорбить дисциплина преподаватель процесс организация образование университет итмый отчислять', 15), ('итмем', 1), ('попасться фанат максим кац', 4)]"
169,14635,,0,"[('почему', 1), ('массив переменный хороший нужно сравнение количество равный количество элемент массив пф учить нынешний школа', 14), ('недостойно писать подобный род шутка паблик подстрока который включать итмый', 10), ('', 0)]"
